,nitidez_borde,nitidez_interior,archivo
52,17.349783,14.500076,salmones/labels/train/labeled-63_png.rf.c911fbfec0d9854226ea53abee966193.txt
53,20.6273,17.423157,salmones/labels/train/labeled-63_png.rf.c911fbfec0d9854226ea53abee966193.txt
54,17.210304,13.60605,salmones/labels/train/labeled-63_png.rf.c911fbfec0d9854226ea53abee966193.txt
55,20.850225,15.627425,salmones/labels/train/labeled-63_png.rf.c911fbfec0d9854226ea53abee966193.txt
56,5.086999,5.359959,salmones/labels/train/labeled-63_png.rf.c911fbfec0d9854226ea53abee966193.txt
57,14.781295,17.522676,salmones/labels/train/labeled-63_png.rf.c911fbfec0d9854226ea53abee966193.txt
58,13.164327,25.483093,salmones/labels/train/labeled-63_png.rf.c911fbfec0d9854226ea53abee966193.txt
59,16.534468,14.125176,salmones/labels/train/labeled-63_png.rf.c911fbfec0d9854226ea53abee966193.txt
60,18.248644,21.523157,salmones/labels/train/labeled-63_png.rf.c911fbfec0d9854226ea53abee966193.txt
61,15.389196,13.407997,salmones/labels/train/labeled-63_png.rf.c911fbfec0d9854226ea53abee966193.txt
62,6.89524,5.1770477,salmones/labels/train/labeled-63_png.rf.c911fbfec0d9854226ea53abee966193.txt
63,13.777505,26.071608,salmones/labels/train/labeled-63_png.rf.c911fbfec0d9854226ea53abee966193.txt
64,19.00873,20.444725,salmones/labels/train/labeled-63_png.rf.c911fbfec0d9854226ea53abee966193.txt
65,19.77359,15.224004,salmones/labels/train/labeled-63_png.rf.c911fbfec0d9854226ea53abee966193.txt
66,18.188856,18.946632,salmones/labels/train/labeled-63_png.rf.c911fbfec0d9854226ea53abee966193.txt
67,28.34493,15.676587,salmones/labels/train/labeled-63_png.rf.c911fbfec0d9854226ea53abee966193.txt
68,16.41531,37.010796,salmones/labels/train/labeled-63_png.rf.c911fbfec0d9854226ea53abee966193.txt
69,17.650826,28.79568,salmones/labels/train/labeled-63_png.rf.c911fbfec0d9854226ea53abee966193.txt
70,19.517086,20.150475,salmones/labels/train/labeled-63_png.rf.c911fbfec0d9854226ea53abee966193.txt
71,19.410088,29.64985,salmones/labels/train/labeled-63_png.rf.c911fbfec0d9854226ea53abee966193.txt
72,23.280796,15.792829,salmones/labels/train/labeled-63_png.rf.c911fbfec0d9854226ea53abee966193.txt
73,18.759623,22.725752,salmones/labels/train/labeled-63_png.rf.c911fbfec0d9854226ea53abee966193.txt
74,18.4281,19.566307,salmones/labels/train/labeled-63_png.rf.c911fbfec0d9854226ea53abee966193.txt
75,17.348389,14.698183,salmones/labels/train/labeled-63_png.rf.c911fbfec0d9854226ea53abee966193.txt
76,21.860556,29.08749,salmones/labels/train/labeled-63_png.rf.c911fbfec0d9854226ea53abee966193.txt
77,5.6968884,3.6449454,salmones/labels/train/labeled-63_png.rf.c911fbfec0d9854226ea53abee966193.txt
